Namespace                                                State
Microsoft.SecurityPlatform                               NotRegistered
Microsoft.SentinelPlatformServices                       NotRegistered
Microsoft.ServiceFabric                                  NotRegistered
Microsoft.ServiceFabricMesh                              NotRegistered
Microsoft.ServiceLinker                                  NotRegistered
Microsoft.ServiceNetworking                              NotRegistered
Microsoft.ServicesHub                                    NotRegistered
Microsoft.SignalRService                                 NotRegistered
Microsoft.Singularity                                    NotRegistered
Microsoft.SoftwarePlan                                   NotRegistered
Microsoft.Solutions                                      NotRegistered
Microsoft.Sovereign                                      NotRegistered
Microsoft.Sql                                            NotRegistered
Microsoft.SqlVirtualMachine                              NotRegistered
Microsoft.StandbyPool                                    NotRegistered
Microsoft.StorageActions                                 NotRegistered
Microsoft.StorageCache                                   NotRegistered
Microsoft.StorageDiscovery                               NotRegistered
Microsoft.StorageMover                                   NotRegistered
Microsoft.StorageSync                                    NotRegistered
Microsoft.StorageTasks                                   NotRegistered
Microsoft.StreamAnalytics                                NotRegistered
Microsoft.Subscription                                   NotRegistered
Microsoft.SupercomputerInfrastructure                    NotRegistered
Microsoft.SustainabilityServices                         NotRegistered
Microsoft.Synapse                                        NotRegistered
Microsoft.Syntex                                         NotRegistered
Microsoft.ToolchainOrchestrator                          NotRegistered
Microsoft.UpdateManager                                  NotRegistered
Microsoft.UsageBilling                                   NotRegistered
Microsoft.VerifiedId                                     NotRegistered
Microsoft.VideoIndexer                                   NotRegistered
Microsoft.VirtualMachineImages                           NotRegistered
microsoft.visualstudio                                   NotRegistered
Microsoft.VMware                                         NotRegistered
Microsoft.VoiceServices                                  NotRegistered
Microsoft.WeightsAndBiases                               NotRegistered
Microsoft.Windows365                                     NotRegistered
Microsoft.WindowsPushNotificationServices                NotRegistered
Microsoft.WorkloadBuilder                                NotRegistered
Microsoft.Workloads                                      NotRegistered
MongoDB.Atlas                                            NotRegistered
Neon.Postgres                                            NotRegistered
NewRelic.Observability                                   NotRegistered
NGINX.NGINXPLUS                                          NotRegistered
Oracle.Database                                          NotRegistered
PaloAltoNetworks.Cloudngfw                               NotRegistered
Pinecone.VectorDb                                        NotRegistered
PureStorage.Block                                        NotRegistered
Qumulo.Storage                                           NotRegistered
